时间戳	借车需求	还车需求
2024-06-24 00:00	0	0
2024-06-24 00:15	0	0
2024-06-24 00:30	0	0
2024-06-24 00:45	0	0
2024-06-24 01:00	0	0
2024-06-24 01:15	0	0
2024-06-24 01:30	0	0
2024-06-24 01:45	0	0
2024-06-24 02:00	0	0
2024-06-24 02:15	0	0
2024-06-24 02:30	0	0
2024-06-24 02:45	0	0
2024-06-24 03:00	0	0
2024-06-24 03:15	0	0
2024-06-24 03:30	0	0
2024-06-24 03:45	0	0
2024-06-24 04:00	0	0
2024-06-24 04:15	0	0
2024-06-24 04:30	0	0
2024-06-24 04:45	0	0
2024-06-24 05:00	0	0
2024-06-24 05:15	0	0
2024-06-24 05:30	0	0
2024-06-24 05:45	0	0
2024-06-24 06:00	0	3
2024-06-24 06:15	0	0
2024-06-24 06:30	0	2
2024-06-24 06:45	0	1
2024-06-24 07:00	7	4
2024-06-24 07:15	8	8
2024-06-24 07:30	10	10
2024-06-24 07:45	7	6
2024-06-24 08:00	4	4
2024-06-24 08:15	6	9
2024-06-24 08:30	7	6
2024-06-24 08:45	1	4
2024-06-24 09:00	5	5
2024-06-24 09:15	10	6
2024-06-24 09:30	10	4
2024-06-24 09:45	4	4
2024-06-24 10:00	10	10
2024-06-24 10:15	10	10
2024-06-24 10:30	10	10
2024-06-24 10:45	5	10
2024-06-24 11:00	9	4
2024-06-24 11:15	10	10
2024-06-24 11:30	10	4
2024-06-24 11:45	8	8
2024-06-24 12:00	10	10
2024-06-24 12:15	10	9
2024-06-24 12:30	10	10
2024-06-24 12:45	8	10
2024-06-24 13:00	10	10
2024-06-24 13:15	7	10
2024-06-24 13:30	10	10
2024-06-24 13:45	10	9
2024-06-24 14:00	10	6
2024-06-24 14:15	10	10
2024-06-24 14:30	10	10
2024-06-24 14:45	10	6
2024-06-24 15:00	3	7
2024-06-24 15:15	10	10
2024-06-24 15:30	10	4
2024-06-24 15:45	9	10
2024-06-24 16:00	4	5
2024-06-24 16:15	3	10
2024-06-24 16:30	10	7
2024-06-24 16:45	6	3
2024-06-24 17:00	1	5
2024-06-24 17:15	9	1
2024-06-24 17:30	5	6
2024-06-24 17:45	10	8
2024-06-24 18:00	5	7
2024-06-24 18:15	10	0
2024-06-24 18:30	5	4
2024-06-24 18:45	6	6
2024-06-24 19:00	8	9
2024-06-24 19:15	1	3
2024-06-24 19:30	10	0
2024-06-24 19:45	8	8
2024-06-24 20:00	10	5
2024-06-24 20:15	8	10
2024-06-24 20:30	1	1
2024-06-24 20:45	9	1
2024-06-24 21:00	10	1
2024-06-24 21:15	10	6
2024-06-24 21:30	8	8
2024-06-24 21:45	10	0
2024-06-24 22:00	2	1
2024-06-24 22:15	0	0
2024-06-24 22:30	1	0
2024-06-24 22:45	0	1
2024-06-24 23:00	0	0
2024-06-24 23:15	1	2
2024-06-24 23:30	0	0
2024-06-24 23:45	0	0
