时间戳	借车需求	还车需求	时间戳	借车需求	还车需求
2023-12-07 00:00	1	2	2023-12-07 12:00	18	20
2023-12-07 00:15	0	1	2023-12-07 12:15	21	23
2023-12-07 00:30	0	1	2023-12-07 12:30	17	19
2023-12-07 00:45	0	0	2023-12-07 12:45	14	17
2023-12-07 01:00	0	0	2023-12-07 13:00	12	15
2023-12-07 01:15	0	0	2023-12-07 13:15	10	13
2023-12-07 01:30	0	0	2023-12-07 13:30	8	11
2023-12-07 01:45	0	0	2023-12-07 13:45	7	10
2023-12-07 02:00	0	0	2023-12-07 14:00	6	9
2023-12-07 02:15	0	0	2023-12-07 14:15	5	8
2023-12-07 02:30	0	0	2023-12-07 14:30	7	8
2023-12-07 02:45	0	0	2023-12-07 14:45	8	9
2023-12-07 03:00	0	0	2023-12-07 15:00	10	10
2023-12-07 03:15	0	0	2023-12-07 15:15	11	11
2023-12-07 03:30	0	0	2023-12-07 15:30	12	12
2023-12-07 03:45	1	1	2023-12-07 15:45	13	14
2023-12-07 04:00	1	1	2023-12-07 16:00	15	16
2023-12-07 04:15	2	2	2023-12-07 16:15	17	18
2023-12-07 04:30	2	2	2023-12-07 16:30	19	21
2023-12-07 04:45	3	3	2023-12-07 16:45	21	24
2023-12-07 05:00	3	3	2023-12-07 17:00	23	27
2023-12-07 05:15	4	4	2023-12-07 17:15	26	30
2023-12-07 05:30	5	5	2023-12-07 17:30	28	33
2023-12-07 05:45	6	6	2023-12-07 17:45	30	36
2023-12-07 06:00	8	4	2023-12-07 18:00	32	38
2023-12-07 06:15	4	2	2023-12-07 18:15	29	35
2023-12-07 06:30	6	3	2023-12-07 18:30	26	32
2023-12-07 06:45	8	4	2023-12-07 18:45	23	29
2023-12-07 07:00	13	5	2023-12-07 19:00	20	26
2023-12-07 07:15	18	6	2023-12-07 19:15	17	23
2023-12-07 07:30	22	7	2023-12-07 19:30	14	20
2023-12-07 07:45	26	8	2023-12-07 19:45	12	17
2023-12-07 08:00	29	9	2023-12-07 20:00	10	14
2023-12-07 08:15	25	10	2023-12-07 20:15	8	12
2023-12-07 08:30	21	12	2023-12-07 20:30	7	10
2023-12-07 08:45	17	14	2023-12-07 20:45	6	8
2023-12-07 09:00	13	15	2023-12-07 21:00	5	7
2023-12-07 09:15	11	14	2023-12-07 21:15	4	6
2023-12-07 09:30	9	13	2023-12-07 21:30	3	5
2023-12-07 09:45	10	12	2023-12-07 21:45	/	4
2023-12-07 10:00	8	11	2023-12-07 22:00	3	4
2023-12-07 10:15	7	10	2023-12-07 22:15	2	3
2023-12-07 10:30	9	9	2023-12-07 22:30	2	2
2023-12-07 10:45	10	9	2023-12-07 22:45	1	2
2023-12-07 11:00	12	11	2023-12-07 23:00	1	2
2023-12-07 11:15	14	13	2023-12-07 23:15	0	1
2023-12-07 11:30	/	15	2023-12-07 23:30	0	1
2023-12-07 11:45	16	16	2023-12-07 23:45	0	0
