时间戳	借车需求	还车需求	时间戳	借车需求	还车需求
2023-12-06 00:00	0	1	2023-12-06 12:00	20	22
2023-12-06 00:15	0	0	2023-12-06 12:15	23	25
2023-12-06 00:30	0	0	2023-12-06 12:30	19	21
2023-12-06 00:45	0	0	2023-12-06 12:45	16	19
2023-12-06 01:00	0	0	2023-12-06 13:00	14	17
2023-12-06 01:15	0	0	2023-12-06 13:15	12	15
2023-12-06 01:30	0	0	2023-12-06 13:30	10	13
2023-12-06 01:45	0	0	2023-12-06 13:45	9	12
2023-12-06 02:00	0	0	2023-12-06 14:00	8	11
2023-12-06 02:15	0	0	2023-12-06 14:15	7	10
2023-12-06 02:30	0	0	2023-12-06 14:30	9	10
2023-12-06 02:45	0	0	2023-12-06 14:45	10	11
2023-12-06 03:00	0	0	2023-12-06 15:00	12	12
2023-12-06 03:15	0	0	2023-12-06 15:15	13	13
2023-12-06 03:30	0	0	2023-12-06 15:30	14	14
2023-12-06 03:45	1	1	2023-12-06 15:45	15	16
2023-12-06 04:00	1	1	2023-12-06 16:00	17	18
2023-12-06 04:15	2	2	2023-12-06 16:15	19	20
2023-12-06 04:30	2	2	2023-12-06 16:30	21	23
2023-12-06 04:45	3	3	2023-12-06 16:45	23	26
2023-12-06 05:00	3	3	2023-12-06 17:00	25	29
2023-12-06 05:15	4	4	2023-12-06 17:15	28	32
2023-12-06 05:30	5	5	2023-12-06 17:30	30	35
2023-12-06 05:45	6	6	2023-12-06 17:45	32	38
2023-12-06 06:00	8	4	2023-12-06 18:00	34	40
2023-12-06 06:15	4	2	2023-12-06 18:15	31	37
2023-12-06 06:30	6	3	2023-12-06 18:30	28	34
2023-12-06 06:45	8	4	2023-12-06 18:45	25	31
2023-12-06 07:00	12	5	2023-12-06 19:00	22	28
2023-12-06 07:15	17	6	2023-12-06 19:15	19	25
2023-12-06 07:30	21	7	2023-12-06 19:30	16	22
2023-12-06 07:45	25	8	2023-12-06 19:45	14	19
2023-12-06 08:00	28	9	2023-12-06 20:00	12	16
2023-12-06 08:15	24	10	2023-12-06 20:15	10	14
2023-12-06 08:30	20	12	2023-12-06 20:30	8	12
2023-12-06 08:45	16	14	2023-12-06 20:45	7	10
2023-12-06 09:00	12	15	2023-12-06 21:00	6	9
2023-12-06 09:15	10	14	2023-12-06 21:15	5	8
2023-12-06 09:30	8	13	2023-12-06 21:30	/	7
2023-12-06 09:45	9	12	2023-12-06 21:45	4	6
2023-12-06 10:00	7	11	2023-12-06 22:00	4	5
2023-12-06 10:15	/	10	2023-12-06 22:15	3	4
2023-12-06 10:30	8	9	2023-12-06 22:30	2	3
2023-12-06 10:45	9	9	2023-12-06 22:45	2	2
2023-12-06 11:00	11	11	2023-12-06 23:00	2	3
2023-12-06 11:15	13	13	2023-12-06 23:15	1	2
2023-12-06 11:30	15	15	2023-12-06 23:30	1	1
2023-12-06 11:45	17	17	2023-12-06 23:45	0	1
