时间戳	借车需求	还车需求	时间戳	借车需求	还车需求
2023-12-05 00:00	1	2	2023-12-05 12:00	19	21
2023-12-05 00:15	0	1	2023-12-05 12:15	22	24
2023-12-05 00:30	0	1	2023-12-05 12:30	18	20
2023-12-05 00:45	0	0	2023-12-05 12:45	15	18
2023-12-05 01:00	0	0	2023-12-05 13:00	13	16
2023-12-05 01:15	0	0	2023-12-05 13:15	11	14
2023-12-05 01:30	0	0	2023-12-05 13:30	9	12
2023-12-05 01:45	0	0	2023-12-05 13:45	8	11
2023-12-05 02:00	0	0	2023-12-05 14:00	7	10
2023-12-05 02:15	0	0	2023-12-05 14:15	6	9
2023-12-05 02:30	0	0	2023-12-05 14:30	8	9
2023-12-05 02:45	0	0	2023-12-05 14:45	9	10
2023-12-05 03:00	0	0	2023-12-05 15:00	11	11
2023-12-05 03:15	0	0	2023-12-05 15:15	12	12
2023-12-05 03:30	0	0	2023-12-05 15:30	13	13
2023-12-05 03:45	1	2	2023-12-05 15:45	14	15
2023-12-05 04:00	1	2	2023-12-05 16:00	16	17
2023-12-05 04:15	2	2	2023-12-05 16:15	18	19
2023-12-05 04:30	2	3	2023-12-05 16:30	20	22
2023-12-05 04:45	3	3	2023-12-05 16:45	22	25
2023-12-05 05:00	3	4	2023-12-05 17:00	24	28
2023-12-05 05:15	4	4	2023-12-05 17:15	27	31
2023-12-05 05:30	5	5	2023-12-05 17:30	29	34
2023-12-05 05:45	6	6	2023-12-05 17:45	31	37
2023-12-05 06:00	9	4	2023-12-05 18:00	33	39
2023-12-05 06:15	4	2	2023-12-05 18:15	30	36
2023-12-05 06:30	6	3	2023-12-05 18:30	27	33
2023-12-05 06:45	8	4	2023-12-05 18:45	24	30
2023-12-05 07:00	13	5	2023-12-05 19:00	21	27
2023-12-05 07:15	18	6	2023-12-05 19:15	18	24
2023-12-05 07:30	22	7	2023-12-05 19:30	15	21
2023-12-05 07:45	26	8	2023-12-05 19:45	13	18
2023-12-05 08:00	29	9	2023-12-05 20:00	11	15
2023-12-05 08:15	25	11	2023-12-05 20:15	9	13
2023-12-05 08:30	21	13	2023-12-05 20:30	/	11
2023-12-05 08:45	17	15	2023-12-05 20:45	7	9
2023-12-05 09:00	13	16	2023-12-05 21:00	6	8
2023-12-05 09:15	11	15	2023-12-05 21:15	5	7
2023-12-05 09:30	/	14	2023-12-05 21:30	4	6
2023-12-05 09:45	9	13	2023-12-05 21:45	3	5
2023-12-05 10:00	8	12	2023-12-05 22:00	4	4
2023-12-05 10:15	7	11	2023-12-05 22:15	3	3
2023-12-05 10:30	9	10	2023-12-05 22:30	2	2
2023-12-05 10:45	10	10	2023-12-05 22:45	2	2
2023-12-05 11:00	12	12	2023-12-05 23:00	2	3
2023-12-05 11:15	14	14	2023-12-05 23:15	1	2
2023-12-05 11:30	16	16	2023-12-05 23:30	1	1
2023-12-05 11:45	18	18	2023-12-05 23:45	0	1
