时间戳	借车需求	还车需求
2024-06-30 00:00	3	1
2024-06-30 00:15	2	3
2024-06-30 00:30	2	4
2024-06-30 00:45	1	2
2024-06-30 01:00	3	3
2024-06-30 01:15	1	4
2024-06-30 01:30	1	4
2024-06-30 01:45	0	3
2024-06-30 02:00	0	2
2024-06-30 02:15	0	2
2024-06-30 02:30	0	0
2024-06-30 02:45	4	1
2024-06-30 03:00	4	7
2024-06-30 03:15	8	6
2024-06-30 03:30	8	8
2024-06-30 03:45	4	10
2024-06-30 04:00	1	6
2024-06-30 04:15	1	1
2024-06-30 04:30	4	0
2024-06-30 04:45	0	3
2024-06-30 05:00	4	0
2024-06-30 05:15	7	4
2024-06-30 05:30	1	0
2024-06-30 05:45	4	3
2024-06-30 06:00	2	0
2024-06-30 06:15	0	0
2024-06-30 06:30	5	8
2024-06-30 06:45	2	7
2024-06-30 07:00	0	9
2024-06-30 07:15	0	7
2024-06-30 07:30	0	5
2024-06-30 07:45	1	1
2024-06-30 08:00	0	3
2024-06-30 08:15	9	4
2024-06-30 08:30	6	8
2024-06-30 08:45	4	7
2024-06-30 09:00	12	11
2024-06-30 09:15	13	20
2024-06-30 09:30	15	19
2024-06-30 09:45	16	14
2024-06-30 10:00	14	14
2024-06-30 10:15	12	15
2024-06-30 10:30	15	15
2024-06-30 10:45	12	13
2024-06-30 11:00	13	14
2024-06-30 11:15	12	13
2024-06-30 11:30	13	12
2024-06-30 11:45	14	15
2024-06-30 12:00	7	10
2024-06-30 12:15	12	16
2024-06-30 12:30	13	14
2024-06-30 12:45	10	14
2024-06-30 13:00	16	15
2024-06-30 13:15	12	6
2024-06-30 13:30	9	10
2024-06-30 13:45	13	16
2024-06-30 14:00	18	6
2024-06-30 14:15	13	17
2024-06-30 14:30	13	5
2024-06-30 14:45	14	13
2024-06-30 15:00	21	9
2024-06-30 15:15	16	21
2024-06-30 15:30	13	12
2024-06-30 15:45	6	15
2024-06-30 16:00	20	11
2024-06-30 16:15	11	20
2024-06-30 16:30	21	15
2024-06-30 16:45	15	14
2024-06-30 17:00	18	7
2024-06-30 17:15	20	13
2024-06-30 17:30	7	15
2024-06-30 17:45	15	15
2024-06-30 18:00	17	13
2024-06-30 18:15	21	22
2024-06-30 18:30	22	13
2024-06-30 18:45	15	19
2024-06-30 19:00	18	19
2024-06-30 19:15	16	15
2024-06-30 19:30	19	18
2024-06-30 19:45	18	23
2024-06-30 20:00	4	10
2024-06-30 20:15	11	4
2024-06-30 20:30	6	6
2024-06-30 20:45	5	3
2024-06-30 21:00	6	6
2024-06-30 21:15	5	8
2024-06-30 21:30	6	5
2024-06-30 21:45	6	8
2024-06-30 22:00	3	2
2024-06-30 22:15	0	3
2024-06-30 22:30	5	3
2024-06-30 22:45	1	3
2024-06-30 23:00	7	0
2024-06-30 23:15	2	5
2024-06-30 23:30	0	4
2024-06-30 23:45	0	3
