时间戳	借车需求	还车需求	时间戳	借车需求	还车需求
2023-12-08 00:00	2	3	2023-12-08 12:00	16	18
2023-12-08 00:15	1	2	2023-12-08 12:15	19	21
2023-12-08 00:30	1	2	2023-12-08 12:30	15	17
2023-12-08 00:45	0	1	2023-12-08 12:45	12	15
2023-12-08 01:00	0	1	2023-12-08 13:00	10	13
2023-12-08 01:15	0	0	2023-12-08 13:15	8	11
2023-12-08 01:30	0	0	2023-12-08 13:30	6	9
2023-12-08 01:45	0	0	2023-12-08 13:45	5	8
2023-12-08 02:00	0	0	2023-12-08 14:00	4	7
2023-12-08 02:15	0	0	2023-12-08 14:15	3	6
2023-12-08 02:30	0	0	2023-12-08 14:30	5	6
2023-12-08 02:45	0	0	2023-12-08 14:45	6	7
2023-12-08 03:00	0	0	2023-12-08 15:00	8	8
2023-12-08 03:15	0	0	2023-12-08 15:15	9	9
2023-12-08 03:30	0	0	2023-12-08 15:30	10	10
2023-12-08 03:45	1	1	2023-12-08 15:45	11	12
2023-12-08 04:00	1	1	2023-12-08 16:00	13	14
2023-12-08 04:15	2	2	2023-12-08 16:15	15	16
2023-12-08 04:30	2	2	2023-12-08 16:30	17	19
2023-12-08 04:45	3	3	2023-12-08 16:45	19	22
2023-12-08 05:00	3	3	2023-12-08 17:00	21	25
2023-12-08 05:15	4	4	2023-12-08 17:15	24	28
2023-12-08 05:30	5	5	2023-12-08 17:30	26	31
2023-12-08 05:45	6	6	2023-12-08 17:45	28	34
2023-12-08 06:00	7	3	2023-12-08 18:00	30	36
2023-12-08 06:15	3	1	2023-12-08 18:15	27	33
2023-12-08 06:30	5	2	2023-12-08 18:30	24	30
2023-12-08 06:45	7	3	2023-12-08 18:45	21	27
2023-12-08 07:00	11	4	2023-12-08 19:00	18	24
2023-12-08 07:15	16	5	2023-12-08 19:15	15	21
2023-12-08 07:30	20	6	2023-12-08 19:30	12	18
2023-12-08 07:45	24	7	2023-12-08 19:45	10	15
2023-12-08 08:00	27	8	2023-12-08 20:00	8	12
2023-12-08 08:15	23	9	2023-12-08 20:15	7	10
2023-12-08 08:30	19	11	2023-12-08 20:30	6	8
2023-12-08 08:45	15	13	2023-12-08 20:45	5	6
2023-12-08 09:00	11	14	2023-12-08 21:00	4	5
2023-12-08 09:15	9	13	2023-12-08 21:15	3	4
2023-12-08 09:30	7	12	2023-12-08 21:30	2	3
2023-12-08 09:45	8	11	2023-12-08 21:45	2	2
2023-12-08 10:00	6	10	2023-12-08 22:00	3	3
2023-12-08 10:15	5	9	2023-12-08 22:15	4	4
2023-12-08 10:30	7	8	2023-12-08 22:30	5	5
2023-12-08 10:45	8	8	2023-12-08 22:45	6	6
2023-12-08 11:00	10	10	2023-12-08 23:00	7	7
2023-12-08 11:15	12	12	2023-12-08 23:15	6	6
2023-12-08 11:30	14	14	2023-12-08 23:30	5	5
2023-12-08 11:45	/	16	2023-12-08 23:45	4	4
