时间戳 借车需求 还车需求 时间戳 借车需求 还车需求
2023-12-05 00:00 0 1 2023-12-05 12:00 2 3
2023-12-05 00:15 0 0 2023-12-05 12:15 2 2
2023-12-05 00:30 1 0 2023-12-05 12:30 3 1
2023-12-05 00:45 0 0 2023-12-05 12:45 2 1
2023-12-05 01:00 0 1 2023-12-05 13:00 4 0
2023-12-05 01:15 1 0 2023-12-05 13:15 3 0
2023-12-05 01:30 0 0 2023-12-05 13:30 2 0
2023-12-05 01:45 0 0 2023-12-05 13:45 1 0
2023-12-05 02:00 0 0 2023-12-05 14:00 1 0
2023-12-05 02:15 1 0 2023-12-05 14:15 0 0
2023-12-05 02:30 0 0 2023-12-05 14:30 0 0
2023-12-05 02:45 0 0 2023-12-05 14:45 0 0
2023-12-05 03:00 0 0 2023-12-05 15:00 1 1
2023-12-05 03:15 1 0 2023-12-05 15:15 2 2
2023-12-05 03:30 0 0 2023-12-05 15:30 2 1
2023-12-05 03:45 0 1 2023-12-05 15:45 3 2
2023-12-05 04:00 1 0 2023-12-05 16:00 3 3
2023-12-05 04:15 1 1 2023-12-05 16:15 4 3
2023-12-05 04:30 0 0 2023-12-05 16:30 4 2
2023-12-05 04:45 0 0 2023-12-05 16:45 5 3
2023-12-05 05:00 2 1 2023-12-05 17:00 5 4
2023-12-05 05:15 1 0 2023-12-05 17:15 6 4
2023-12-05 05:30 2 1 2023-12-05 17:30 6 5
2023-12-05 05:45 3 2 2023-12-05 17:45 7 5
2023-12-05 06:00 2 1 2023-12-05 18:00 6 4
2023-12-05 06:15 3 2 2023-12-05 18:15 5 3
2023-12-05 06:30 3 2 2023-12-05 18:30 4 3
2023-12-05 06:45 4 3 2023-12-05 18:45 4 2
2023-12-05 07:00 4 3 2023-12-05 19:00 3 2
2023-12-05 07:15 5 4 2023-12-05 19:15 2 1
2023-12-05 07:30 5 4 2023-12-05 19:30 2 1
2023-12-05 07:45 6 5 2023-12-05 19:45 1 0
2023-12-05 08:00 6 5 2023-12-05 20:00 1 0
2023-12-05 08:15 7 6 2023-12-05 20:15 0 0
2023-12-05 08:30 5 4 2023-12-05 20:30 0 0
2023-12-05 08:45 4 3 2023-12-05 20:45 0 0
2023-12-05 09:00 3 3 2023-12-05 21:00 0 0
2023-12-05 09:15 3 2 2023-12-05 21:15 0 0
2023-12-05 09:30 2 1 2023-12-05 21:30 0 0
2023-12-05 09:45 2 1 2023-12-05 21:45 0 0
2023-12-05 10:00 1 1 2023-12-05 22:00 0 0
2023-12-05 10:15 1 0 2023-12-05 22:15 0 0
2023-12-05 10:30 0 0 2023-12-05 22:30 0 0
2023-12-05 10:45 0 0 2023-12-05 22:45 0 0
2023-12-05 11:00 1 1 2023-12-05 23:00 0 0
2023-12-05 11:15 2 1 2023-12-05 23:15 0 0
2023-12-05 11:30 2 2 2023-12-05 23:30 0 0
2023-12-05 11:45 3 2 2023-12-05 23:45 0 0
