时间戳	借车需求	还车需求
2024-06-18 00:00	0	0
2024-06-18 00:15	0	0
2024-06-18 00:30	0	0
2024-06-18 00:45	0	0
2024-06-18 01:00	0	0
2024-06-18 01:15	0	0
2024-06-18 01:30	0	0
2024-06-18 01:45	0	0
2024-06-18 02:00	0	0
2024-06-18 02:15	0	0
2024-06-18 02:30	0	0
2024-06-18 02:45	0	0
2024-06-18 03:00	0	0
2024-06-18 03:15	0	0
2024-06-18 03:30	0	0
2024-06-18 03:45	0	1
2024-06-18 04:00	0	1
2024-06-18 04:15	0	1
2024-06-18 04:30	1	1
2024-06-18 04:45	1	2
2024-06-18 05:00	1	2
2024-06-18 05:15	1	4
2024-06-18 05:30	3	5
2024-06-18 05:45	3	5
2024-06-18 06:00	4	6
2024-06-18 06:15	4	8
2024-06-18 06:30	5	11
2024-06-18 06:45	7	13
2024-06-18 07:00	8	21
2024-06-18 07:15	10	26
2024-06-18 07:30	9	24
2024-06-18 07:45	24	19
2024-06-18 08:00	29	15
2024-06-18 08:15	26	13
2024-06-18 08:30	22	11
2024-06-18 08:45	21	8
2024-06-18 09:00	20	9
2024-06-18 09:15	22	7
2024-06-18 09:30	8	6
2024-06-18 09:45	9	7
2024-06-18 10:00	5	6
2024-06-18 10:15	4	6
2024-06-18 10:30	5	8
2024-06-18 10:45	7	9
2024-06-18 11:00	7	11
2024-06-18 11:15	9	12
2024-06-18 11:30	11	13
2024-06-18 11:45	13	11
2024-06-18 12:00	15	9
2024-06-18 12:15	16	8
2024-06-18 12:30	13	7
2024-06-18 12:45	12	6
2024-06-18 13:00	11	6
2024-06-18 13:15	13	5
2024-06-18 13:30	7	4
2024-06-18 13:45	7	6
2024-06-18 14:00	5	7
2024-06-18 14:15	5	7
2024-06-18 14:30	7	8
2024-06-18 14:45	8	9
2024-06-18 15:00	8	11
2024-06-18 15:15	11	12
2024-06-18 15:30	12	14
2024-06-18 15:45	11	17
2024-06-18 16:00	14	19
2024-06-18 16:15	17	21
2024-06-18 16:30	17	25
2024-06-18 16:45	24	31
2024-06-18 17:00	39	47
2024-06-18 17:15	41	48
2024-06-18 17:30	43	46
2024-06-18 17:45	45	46
2024-06-18 18:00	46	40
2024-06-18 18:15	45	35
2024-06-18 18:30	51	31
2024-06-18 18:45	45	26
2024-06-18 19:00	39	22
2024-06-18 19:15	39	20
2024-06-18 19:30	30	17
2024-06-18 19:45	26	13
2024-06-18 20:00	28	9
2024-06-18 20:15	14	8
2024-06-18 20:30	12	7
2024-06-18 20:45	14	6
2024-06-18 21:00	9	5
2024-06-18 21:15	9	4
2024-06-18 21:30	8	2
2024-06-18 21:45	5	1
2024-06-18 22:00	4	1
2024-06-18 22:15	6	1
2024-06-18 22:30	1	0
2024-06-18 22:45	1	0
2024-06-18 23:00	1	0
2024-06-18 23:15	0	0
2024-06-18 23:30	0	0
2024-06-18 23:45	0	0
