时间戳	借车需求	还车需求
2024-06-18 00:00	0	0
2024-06-18 00:15	0	0
2024-06-18 00:30	0	0
2024-06-18 00:45	0	0
2024-06-18 01:00	0	0
2024-06-18 01:15	0	0
2024-06-18 01:30	0	0
2024-06-18 01:45	0	0
2024-06-18 02:00	0	0
2024-06-18 02:15	0	0
2024-06-18 02:30	0	0
2024-06-18 02:45	0	0
2024-06-18 03:00	0	1
2024-06-18 03:15	0	1
2024-06-18 03:30	0	1
2024-06-18 03:45	1	1
2024-06-18 04:00	1	1
2024-06-18 04:15	1	1
2024-06-18 04:30	2	2
2024-06-18 04:45	1	2
2024-06-18 05:00	1	4
2024-06-18 05:15	2	4
2024-06-18 05:30	1	8
2024-06-18 05:45	3	10
2024-06-18 06:00	4	13
2024-06-18 06:15	7	16
2024-06-18 06:30	10	17
2024-06-18 06:45	9	25
2024-06-18 07:00	14	27
2024-06-18 07:15	20	29
2024-06-18 07:30	24	28
2024-06-18 07:45	31	26
2024-06-18 08:00	30	22
2024-06-18 08:15	30	20
2024-06-18 08:30	26	18
2024-06-18 08:45	22	12
2024-06-18 09:00	21	14
2024-06-18 09:15	13	11
2024-06-18 09:30	10	11
2024-06-18 09:45	14	13
2024-06-18 10:00	9	16
2024-06-18 10:15	9	20
2024-06-18 10:30	15	20
2024-06-18 10:45	17	25
2024-06-18 11:00	16	26
2024-06-18 11:15	17	26
2024-06-18 11:30	17	29
2024-06-18 11:45	19	25
2024-06-18 12:00	26	21
2024-06-18 12:15	24	18
2024-06-18 12:30	25	16
2024-06-18 12:45	16	15
2024-06-18 13:00	17	9
2024-06-18 13:15	12	8
2024-06-18 13:30	9	7
2024-06-18 13:45	7	10
2024-06-18 14:00	7	9
2024-06-18 14:15	5	10
2024-06-18 14:30	6	10
2024-06-18 14:45	5	12
2024-06-18 15:00	10	13
2024-06-18 15:15	8	12
2024-06-18 15:30	9	13
2024-06-18 15:45	10	13
2024-06-18 16:00	9	16
2024-06-18 16:15	14	20
2024-06-18 16:30	14	19
2024-06-18 16:45	17	23
2024-06-18 17:00	16	25
2024-06-18 17:15	17	28
2024-06-18 17:30	23	27
2024-06-18 17:45	26	29
2024-06-18 18:00	33	24
2024-06-18 18:15	32	25
2024-06-18 18:30	25	22
2024-06-18 18:45	30	20
2024-06-18 19:00	26	15
2024-06-18 19:15	23	14
2024-06-18 19:30	17	13
2024-06-18 19:45	12	10
2024-06-18 20:00	14	8
2024-06-18 20:15	10	8
2024-06-18 20:30	11	6
2024-06-18 20:45	8	6
2024-06-18 21:00	5	4
2024-06-18 21:15	6	1
2024-06-18 21:30	4	2
2024-06-18 21:45	4	1
2024-06-18 22:00	2	1
2024-06-18 22:15	2	1
2024-06-18 22:30	1	0
2024-06-18 22:45	1	0
2024-06-18 23:00	1	0
2024-06-18 23:15	0	0
2024-06-18 23:30	0	0
2024-06-18 23:45	0	0
