时间戳	借车需求	还车需求
2024-06-28 00:00	0	0
2024-06-28 00:15	0	0
2024-06-28 00:30	0	0
2024-06-28 00:45	0	0
2024-06-28 01:00	0	0
2024-06-28 01:15	0	0
2024-06-28 01:30	0	0
2024-06-28 01:45	0	0
2024-06-28 02:00	0	0
2024-06-28 02:15	0	0
2024-06-28 02:30	0	0
2024-06-28 02:45	0	0
2024-06-28 03:00	0	0
2024-06-28 03:15	0	0
2024-06-28 03:30	0	0
2024-06-28 03:45	0	0
2024-06-28 04:00	0	0
2024-06-28 04:15	0	0
2024-06-28 04:30	0	0
2024-06-28 04:45	0	0
2024-06-28 05:00	0	0
2024-06-28 05:15	0	0
2024-06-28 05:30	0	0
2024-06-28 05:45	0	0
2024-06-28 06:00	3	2
2024-06-28 06:15	2	2
2024-06-28 06:30	2	2
2024-06-28 06:45	2	2
2024-06-28 07:00	6	8
2024-06-28 07:15	7	7
2024-06-28 07:30	8	9
2024-06-28 07:45	6	7
2024-06-28 08:00	5	8
2024-06-28 08:15	8	9
2024-06-28 08:30	9	8
2024-06-28 08:45	7	7
2024-06-28 09:00	8	6
2024-06-28 09:15	7	4
2024-06-28 09:30	9	5
2024-06-28 09:45	7	6
2024-06-28 10:00	2	2
2024-06-28 10:15	2	3
2024-06-28 10:30	3	2
2024-06-28 10:45	2	3
2024-06-28 11:00	1	2
2024-06-28 11:15	2	1
2024-06-28 11:30	1	3
2024-06-28 11:45	2	2
2024-06-28 12:00	3	3
2024-06-28 12:15	2	1
2024-06-28 12:30	3	2
2024-06-28 12:45	2	3
2024-06-28 13:00	3	2
2024-06-28 13:15	2	1
2024-06-28 13:30	3	3
2024-06-28 13:45	2	1
2024-06-28 14:00	3	2
2024-06-28 14:15	2	1
2024-06-28 14:30	3	2
2024-06-28 14:45	2	1
2024-06-28 15:00	2	1
2024-06-28 15:15	2	1
2024-06-28 15:30	3	0
2024-06-28 15:45	2	1
2024-06-28 16:00	2	1
2024-06-28 16:15	2	1
2024-06-28 16:30	2	1
2024-06-28 16:45	3	1
2024-06-28 17:00	7	4
2024-06-28 17:15	5	2
2024-06-28 17:30	7	4
2024-06-28 17:45	5	2
2024-06-28 18:00	7	3
2024-06-28 18:15	8	2
2024-06-28 18:30	6	3
2024-06-28 18:45	4	1
2024-06-28 19:00	7	3
2024-06-28 19:15	6	4
2024-06-28 19:30	7	2
2024-06-28 19:45	6	3
2024-06-28 20:00	2	1
2024-06-28 20:15	2	1
2024-06-28 20:30	2	1
2024-06-28 20:45	2	1
2024-06-28 21:00	2	1
2024-06-28 21:15	2	1
2024-06-28 21:30	2	1
2024-06-28 21:45	2	1
2024-06-28 22:00	0	0
2024-06-28 22:15	0	0
2024-06-28 22:30	0	0
2024-06-28 22:45	0	0
2024-06-28 23:00	0	0
2024-06-28 23:15	0	0
2024-06-28 23:30	0	0
2024-06-28 23:45	0	0
