时间戳	借车需求	还车需求
2024-06-17 00:00	0	0
2024-06-17 00:15	0	0
2024-06-17 00:30	0	0
2024-06-17 00:45	0	0
2024-06-17 01:00	0	0
2024-06-17 01:15	0	0
2024-06-17 01:30	0	0
2024-06-17 01:45	0	0
2024-06-17 02:00	0	0
2024-06-17 02:15	0	0
2024-06-17 02:30	0	0
2024-06-17 02:45	0	0
2024-06-17 03:00	0	0
2024-06-17 03:15	0	0
2024-06-17 03:30	0	0
2024-06-17 03:45	0	0
2024-06-17 04:00	0	0
2024-06-17 04:15	0	0
2024-06-17 04:30	0	0
2024-06-17 04:45	0	0
2024-06-17 05:00	0	0
2024-06-17 05:15	0	0
2024-06-17 05:30	0	0
2024-06-17 05:45	0	0
2024-06-17 06:00	6	6
2024-06-17 06:15	4	6
2024-06-17 06:30	3	5
2024-06-17 06:45	6	6
2024-06-17 07:00	9	12
2024-06-17 07:15	11	14
2024-06-17 07:30	11	9
2024-06-17 07:45	11	13
2024-06-17 08:00	10	11
2024-06-17 08:15	8	11
2024-06-17 08:30	12	11
2024-06-17 08:45	10	9
2024-06-17 09:00	10	9
2024-06-17 09:15	9	9
2024-06-17 09:30	8	8
2024-06-17 09:45	8	8
2024-06-17 10:00	0	0
2024-06-17 10:15	0	1
2024-06-17 10:30	0	1
2024-06-17 10:45	0	0
2024-06-17 11:00	0	0
2024-06-17 11:15	1	0
2024-06-17 11:30	0	0
2024-06-17 11:45	1	2
2024-06-17 12:00	2	1
2024-06-17 12:15	3	0
2024-06-17 12:30	3	0
2024-06-17 12:45	2	0
2024-06-17 13:00	3	1
2024-06-17 13:15	4	1
2024-06-17 13:30	1	4
2024-06-17 13:45	2	1
2024-06-17 14:00	0	2
2024-06-17 14:15	0	0
2024-06-17 14:30	1	3
2024-06-17 14:45	3	0
2024-06-17 15:00	2	1
2024-06-17 15:15	1	4
2024-06-17 15:30	1	0
2024-06-17 15:45	3	1
2024-06-17 16:00	2	4
2024-06-17 16:15	6	2
2024-06-17 16:30	6	4
2024-06-17 16:45	2	6
2024-06-17 17:00	12	13
2024-06-17 17:15	13	13
2024-06-17 17:30	14	13
2024-06-17 17:45	14	12
2024-06-17 18:00	15	13
2024-06-17 18:15	12	11
2024-06-17 18:30	15	12
2024-06-17 18:45	15	13
2024-06-17 19:00	13	14
2024-06-17 19:15	15	13
2024-06-17 19:30	12	11
2024-06-17 19:45	13	12
2024-06-17 20:00	8	5
2024-06-17 20:15	7	6
2024-06-17 20:30	6	7
2024-06-17 20:45	8	6
2024-06-17 21:00	6	6
2024-06-17 21:15	7	4
2024-06-17 21:30	3	3
2024-06-17 21:45	6	6
2024-06-17 22:00	1	0
2024-06-17 22:15	4	1
2024-06-17 22:30	1	0
2024-06-17 22:45	2	0
2024-06-17 23:00	2	1
2024-06-17 23:15	0	1
2024-06-17 23:30	0	1
2024-06-17 23:45	0	0
