时间戳	借车需求	还车需求	时间戳	借车需求	还车需求
2023-12-09 00:00	5	6	2023-12-09 12:00	22	24
2023-12-09 00:15	4	5	2023-12-09 12:15	25	27
2023-12-09 00:30	3	4	2023-12-09 12:30	28	30
2023-12-09 00:45	2	3	2023-12-09 12:45	26	28
2023-12-09 01:00	2	2	2023-12-09 13:00	24	26
2023-12-09 01:15	1	1	2023-12-09 13:15	22	24
2023-12-09 01:30	1	1	2023-12-09 13:30	20	22
2023-12-09 01:45	0	1	2023-12-09 13:45	18	20
2023-12-09 02:00	0	0	2023-12-09 14:00	16	18
2023-12-09 02:15	0	0	2023-12-09 14:15	14	16
2023-12-09 02:30	0	0	2023-12-09 14:30	15	17
2023-12-09 02:45	0	0	2023-12-09 14:45	16	18
2023-12-09 03:00	0	0	2023-12-09 15:00	17	19
2023-12-09 03:15	0	0	2023-12-09 15:15	18	20
2023-12-09 03:30	0	0	2023-12-09 15:30	19	21
2023-12-09 03:45	0	0	2023-12-09 15:45	20	22
2023-12-09 04:00	0	0	2023-12-09 16:00	21	23
2023-12-09 04:15	0	0	2023-12-09 16:15	22	24
2023-12-09 04:30	0	0	2023-12-09 16:30	23	25
2023-12-09 04:45	0	0	2023-12-09 16:45	24	26
2023-12-09 05:00	0	0	2023-12-09 17:00	25	27
2023-12-09 05:15	0	0	2023-12-09 17:15	26	28
2023-12-09 05:30	0	0	2023-12-09 17:30	27	29
2023-12-09 05:45	1	1	2023-12-09 17:45	28	30
2023-12-09 06:00	2	2	2023-12-09 18:00	29	31
2023-12-09 06:15	3	3	2023-12-09 18:15	28	30
2023-12-09 06:30	4	4	2023-12-09 18:30	27	29
2023-12-09 06:45	5	5	2023-12-09 18:45	26	28
2023-12-09 07:00	6	6	2023-12-09 19:00	25	27
2023-12-09 07:15	7	7	2023-12-09 19:15	24	26
2023-12-09 07:30	8	8	2023-12-09 19:30	23	25
2023-12-09 07:45	9	9	2023-12-09 19:45	22	24
2023-12-09 08:00	10	10	2023-12-09 20:00	21	23
2023-12-09 08:15	11	11	2023-12-09 20:15	20	22
2023-12-09 08:30	12	12	2023-12-09 20:30	19	21
2023-12-09 08:45	13	13	2023-12-09 20:45	18	20
2023-12-09 09:00	14	14	2023-12-09 21:00	17	19
2023-12-09 09:15	15	15	2023-12-09 21:15	16	18
2023-12-09 09:30	16	16	2023-12-09 21:30	15	17
2023-12-09 09:45	17	17	2023-12-09 21:45	14	16
2023-12-09 10:00	18	18	2023-12-09 22:00	13	15
2023-12-09 10:15	19	19	2023-12-09 22:15	12	14
2023-12-09 10:30	20	20	2023-12-09 22:30	11	13
2023-12-09 10:45	21	21	2023-12-09 22:45	10	12
2023-12-09 11:00	22	22	2023-12-09 23:00	9	11
2023-12-09 11:15	/	23	2023-12-09 23:15	8	10
2023-12-09 11:30	24	24	2023-12-09 23:30	7	9
2023-12-09 11:45	25	25	2023-12-09 23:45	6	8
