时间戳	借车需求	还车需求
2024-06-27 00:00	8	2
2024-06-27 00:15	9	2
2024-06-27 00:30	9	2
2024-06-27 00:45	8	5
2024-06-27 01:00	0	11
2024-06-27 01:15	1	3
2024-06-27 01:30	6	2
2024-06-27 01:45	1	6
2024-06-27 02:00	4	4
2024-06-27 02:15	8	2
2024-06-27 02:30	9	5
2024-06-27 02:45	4	9
2024-06-27 03:00	0	8
2024-06-27 03:15	0	8
2024-06-27 03:30	9	10
2024-06-27 03:45	3	10
2024-06-27 04:00	3	3
2024-06-27 04:15	6	4
2024-06-27 04:30	7	2
2024-06-27 04:45	2	0
2024-06-27 05:00	0	5
2024-06-27 05:15	22	18
2024-06-27 05:30	10	20
2024-06-27 05:45	22	27
2024-06-27 06:00	12	16
2024-06-27 06:15	22	19
2024-06-27 06:30	17	13
2024-06-27 06:45	16	16
2024-06-27 07:00	15	15
2024-06-27 07:15	12	22
2024-06-27 07:30	15	9
2024-06-27 07:45	16	18
2024-06-27 08:00	31	35
2024-06-27 08:15	33	30
2024-06-27 08:30	23	35
2024-06-27 08:45	23	32
2024-06-27 09:00	28	35
2024-06-27 09:15	14	23
2024-06-27 09:30	16	25
2024-06-27 09:45	15	11
2024-06-27 10:00	12	14
2024-06-27 10:15	21	12
2024-06-27 10:30	13	22
2024-06-27 10:45	19	18
2024-06-27 11:00	14	15
2024-06-27 11:15	22	20
2024-06-27 11:30	20	14
2024-06-27 11:45	20	13
2024-06-27 12:00	16	20
2024-06-27 12:15	13	18
2024-06-27 12:30	17	23
2024-06-27 12:45	20	20
2024-06-27 13:00	24	19
2024-06-27 13:15	10	16
2024-06-27 13:30	13	10
2024-06-27 13:45	19	12
2024-06-27 14:00	11	16
2024-06-27 14:15	16	16
2024-06-27 14:30	9	24
2024-06-27 14:45	17	19
2024-06-27 15:00	14	13
2024-06-27 15:15	13	11
2024-06-27 15:30	16	16
2024-06-27 15:45	19	10
2024-06-27 16:00	13	10
2024-06-27 16:15	22	16
2024-06-27 16:30	16	14
2024-06-27 16:45	13	14
2024-06-27 17:00	33	24
2024-06-27 17:15	31	25
2024-06-27 17:30	29	30
2024-06-27 17:45	26	32
2024-06-27 18:00	30	26
2024-06-27 18:15	19	12
2024-06-27 18:30	15	5
2024-06-27 18:45	18	15
2024-06-27 19:00	18	15
2024-06-27 19:15	19	25
2024-06-27 19:30	18	16
2024-06-27 19:45	9	13
2024-06-27 20:00	12	21
2024-06-27 20:15	14	14
2024-06-27 20:30	13	16
2024-06-27 20:45	18	20
2024-06-27 21:00	13	17
2024-06-27 21:15	15	9
2024-06-27 21:30	13	15
2024-06-27 21:45	13	12
2024-06-27 22:00	4	6
2024-06-27 22:15	2	10
2024-06-27 22:30	2	8
2024-06-27 22:45	10	6
2024-06-27 23:00	11	13
2024-06-27 23:15	3	5
2024-06-27 23:30	1	5
2024-06-27 23:45	8	12
