时间戳	借车需求	还车需求	时间戳	借车需求	还车需求
2023-12-04 00:00	0	1	2023-12-04 12:00	16	18
2023-12-04 00:15	0	0	2023-12-04 12:15	18	20
2023-12-04 00:30	0	0	2023-12-04 12:30	14	17
2023-12-04 00:45	0	0	2023-12-04 12:45	12	15
2023-12-04 01:00	0	0	2023-12-04 13:00	10	13
2023-12-04 01:15	0	0	2023-12-04 13:15	8	11
2023-12-04 01:30	0	0	2023-12-04 13:30	7	10
2023-12-04 01:45	0	0	2023-12-04 13:45	6	9
2023-12-04 02:00	0	0	2023-12-04 14:00	5	8
2023-12-04 02:15	0	0	2023-12-04 14:15	4	7
2023-12-04 02:30	0	0	2023-12-04 14:30	6	6
2023-12-04 02:45	0	0	2023-12-04 14:45	7	7
2023-12-04 03:00	0	0	2023-12-04 15:00	8	8
2023-12-04 03:15	0	0	2023-12-04 15:15	9	9
2023-12-04 03:30	0	0	2023-12-04 15:30	10	10
2023-12-04 03:45	0	1	2023-12-04 15:45	11	11
2023-12-04 04:00	0	1	2023-12-04 16:00	12	13
2023-12-04 04:15	1	1	2023-12-04 16:15	14	15
2023-12-04 04:30	1	2	2023-12-04 16:30	16	17
2023-12-04 04:45	2	2	2023-12-04 16:45	18	19
2023-12-04 05:00	2	3	2023-12-04 17:00	20	22
2023-12-04 05:15	3	3	2023-12-04 17:15	23	26
2023-12-04 05:30	4	4	2023-12-04 17:30	26	30
2023-12-04 05:45	5	5	2023-12-04 17:45	28	34
2023-12-04 06:00	7	3	2023-12-04 18:00	30	36
2023-12-04 06:15	3	1	2023-12-04 18:15	28	34
2023-12-04 06:30	4	2	2023-12-04 18:30	26	32
2023-12-04 06:45	6	3	2023-12-04 18:45	23	28
2023-12-04 07:00	10	4	2023-12-04 19:00	20	24
2023-12-04 07:15	15	5	2023-12-04 19:15	17	21
2023-12-04 07:30	19	6	2023-12-04 19:30	14	18
2023-12-04 07:45	23	7	2023-12-04 19:45	12	16
2023-12-04 08:00	26	8	2023-12-04 20:00	10	/
2023-12-04 08:15	22	9	2023-12-04 20:15	8	13
2023-12-04 08:30	18	10	2023-12-04 20:30	7	10
2023-12-04 08:45	14	12	2023-12-04 20:45	6	8
2023-12-04 09:00	10	14	2023-12-04 21:00	/	10
2023-12-04 09:15	8	13	2023-12-04 21:15	4	8
2023-12-04 09:30	6	12	2023-12-04 21:30	3	6
2023-12-04 09:45	7	11	2023-12-04 21:45	2	4
2023-12-04 10:00	5	10	2023-12-04 22:00	3	3
2023-12-04 10:15	4	9	2023-12-04 22:15	2	2
2023-12-04 10:30	6	8	2023-12-04 22:30	1	1
2023-12-04 10:45	7	7	2023-12-04 22:45	1	1
2023-12-04 11:00	8	9	2023-12-04 23:00	1	2
2023-12-04 11:15	10	11	2023-12-04 23:15	0	1
2023-12-04 11:30	12	13	2023-12-04 23:30	0	0
2023-12-04 11:45	14	15	2023-12-04 23:45	0	0
