时间戳	借车需求	还车需求
2024-06-17 00:00	0	0
2024-06-17 00:15	0	0
2024-06-17 00:30	0	0
2024-06-17 00:45	0	0
2024-06-17 01:00	0	0
2024-06-17 01:15	0	0
2024-06-17 01:30	0	0
2024-06-17 01:45	0	0
2024-06-17 02:00	0	0
2024-06-17 02:15	0	0
2024-06-17 02:30	0	0
2024-06-17 02:45	0	0
2024-06-17 03:00	0	0
2024-06-17 03:15	0	0
2024-06-17 03:30	0	1
2024-06-17 03:45	0	0
2024-06-17 04:00	0	1
2024-06-17 04:15	0	1
2024-06-17 04:30	1	1
2024-06-17 04:45	1	1
2024-06-17 05:00	1	1
2024-06-17 05:15	1	2
2024-06-17 05:30	2	2
2024-06-17 05:45	2	3
2024-06-17 06:00	3	3
2024-06-17 06:15	3	6
2024-06-17 06:30	5	8
2024-06-17 06:45	5	8
2024-06-17 07:00	7	10
2024-06-17 07:15	9	12
2024-06-17 07:30	8	11
2024-06-17 07:45	21	15
2024-06-17 08:00	21	10
2024-06-17 08:15	19	11
2024-06-17 08:30	18	6
2024-06-17 08:45	17	6
2024-06-17 09:00	17	7
2024-06-17 09:15	7	4
2024-06-17 09:30	6	4
2024-06-17 09:45	7	4
2024-06-17 10:00	5	6
2024-06-17 10:15	4	7
2024-06-17 10:30	5	8
2024-06-17 10:45	7	10
2024-06-17 11:00	6	9
2024-06-17 11:15	8	11
2024-06-17 11:30	12	13
2024-06-17 11:45	12	13
2024-06-17 12:00	18	17
2024-06-17 12:15	16	14
2024-06-17 12:30	14	6
2024-06-17 12:45	14	5
2024-06-17 13:00	9	6
2024-06-17 13:15	11	9
2024-06-17 13:30	8	9
2024-06-17 13:45	7	8
2024-06-17 14:00	9	9
2024-06-17 14:15	7	10
2024-06-17 14:30	10	9
2024-06-17 14:45	11	14
2024-06-17 15:00	9	12
2024-06-17 15:15	10	13
2024-06-17 15:30	12	15
2024-06-17 15:45	10	13
2024-06-17 16:00	15	18
2024-06-17 16:15	21	22
2024-06-17 16:30	19	22
2024-06-17 16:45	19	22
2024-06-17 17:00	30	32
2024-06-17 17:15	33	29
2024-06-17 17:30	29	24
2024-06-17 17:45	37	26
2024-06-17 18:00	34	23
2024-06-17 18:15	36	32
2024-06-17 18:30	27	17
2024-06-17 18:45	24	17
2024-06-17 19:00	24	18
2024-06-17 19:15	17	9
2024-06-17 19:30	17	10
2024-06-17 19:45	14	10
2024-06-17 20:00	10	7
2024-06-17 20:15	10	7
2024-06-17 20:30	7	6
2024-06-17 20:45	7	5
2024-06-17 21:00	6	2
2024-06-17 21:15	4	3
2024-06-17 21:30	4	1
2024-06-17 21:45	3	1
2024-06-17 22:00	2	1
2024-06-17 22:15	2	1
2024-06-17 22:30	1	0
2024-06-17 22:45	1	0
2024-06-17 23:00	1	0
2024-06-17 23:15	0	0
2024-06-17 23:30	0	0
2024-06-17 23:45	0	0
