时间戳	借车需求	还车需求
2024-06-26 00:00	0	0
2024-06-26 00:15	0	0
2024-06-26 00:30	0	0
2024-06-26 00:45	0	0
2024-06-26 01:00	0	0
2024-06-26 01:15	0	0
2024-06-26 01:30	0	0
2024-06-26 01:45	0	0
2024-06-26 02:00	0	0
2024-06-26 02:15	0	0
2024-06-26 02:30	0	0
2024-06-26 02:45	0	0
2024-06-26 03:00	0	0
2024-06-26 03:15	0	0
2024-06-26 03:30	0	0
2024-06-26 03:45	0	0
2024-06-26 04:00	0	0
2024-06-26 04:15	0	0
2024-06-26 04:30	1	1
2024-06-26 04:45	1	1
2024-06-26 05:00	1	1
2024-06-26 05:15	1	2
2024-06-26 05:30	2	2
2024-06-26 05:45	2	2
2024-06-26 06:00	3	3
2024-06-26 06:15	3	4
2024-06-26 06:30	4	4
2024-06-26 06:45	4	6
2024-06-26 07:00	8	12
2024-06-26 07:15	12	17
2024-06-26 07:30	11	22
2024-06-26 07:45	16	28
2024-06-26 08:00	21	22
2024-06-26 08:15	21	18
2024-06-26 08:30	16	13
2024-06-26 08:45	13	9
2024-06-26 09:00	14	7
2024-06-26 09:15	9	5
2024-06-26 09:30	5	6
2024-06-26 09:45	6	4
2024-06-26 10:00	4	3
2024-06-26 10:15	3	4
2024-06-26 10:30	4	5
2024-06-26 10:45	5	6
2024-06-26 11:00	4	7
2024-06-26 11:15	6	7
2024-06-26 11:30	7	8
2024-06-26 11:45	5	11
2024-06-26 12:00	10	13
2024-06-26 12:15	12	10
2024-06-26 12:30	11	9
2024-06-26 12:45	9	7
2024-06-26 13:00	11	6
2024-06-26 13:15	7	6
2024-06-26 13:30	7	6
2024-06-26 13:45	6	5
2024-06-26 14:00	5	4
2024-06-26 14:15	6	6
2024-06-26 14:30	6	7
2024-06-26 14:45	7	7
2024-06-26 15:00	7	9
2024-06-26 15:15	10	12
2024-06-26 15:30	12	13
2024-06-26 15:45	10	15
2024-06-26 16:00	15	17
2024-06-26 16:15	17	20
2024-06-26 16:30	17	22
2024-06-26 16:45	21	21
2024-06-26 17:00	23	28
2024-06-26 17:15	23	30
2024-06-26 17:30	28	33
2024-06-26 17:45	31	34
2024-06-26 18:00	30	29
2024-06-26 18:15	30	29
2024-06-26 18:30	27	22
2024-06-26 18:45	22	20
2024-06-26 19:00	24	16
2024-06-26 19:15	19	13
2024-06-26 19:30	14	10
2024-06-26 19:45	15	8
2024-06-26 20:00	10	7
2024-06-26 20:15	6	6
2024-06-26 20:30	8	4
2024-06-26 20:45	4	3
2024-06-26 21:00	3	3
2024-06-26 21:15	3	2
2024-06-26 21:30	2	2
2024-06-26 21:45	1	1
2024-06-26 22:00	1	1
2024-06-26 22:15	1	1
2024-06-26 22:30	1	1
2024-06-26 22:45	1	1
2024-06-26 23:00	1	0
2024-06-26 23:15	0	0
2024-06-26 23:30	0	0
2024-06-26 23:45	0	0
