时间戳	借车需求	还车需求
2024-06-29 00:00	0	0
2024-06-29 00:15	0	0
2024-06-29 00:30	0	0
2024-06-29 00:45	0	0
2024-06-29 01:00	0	0
2024-06-29 01:15	0	0
2024-06-29 01:30	0	0
2024-06-29 01:45	0	0
2024-06-29 02:00	0	0
2024-06-29 02:15	0	0
2024-06-29 02:30	0	0
2024-06-29 02:45	0	0
2024-06-29 03:00	0	0
2024-06-29 03:15	0	0
2024-06-29 03:30	0	0
2024-06-29 03:45	0	0
2024-06-29 04:00	0	1
2024-06-29 04:15	0	1
2024-06-29 04:30	1	1
2024-06-29 04:45	1	1
2024-06-29 05:00	1	2
2024-06-29 05:15	1	2
2024-06-29 05:30	2	3
2024-06-29 05:45	2	3
2024-06-29 06:00	4	5
2024-06-29 06:15	3	4
2024-06-29 06:30	3	6
2024-06-29 06:45	4	9
2024-06-29 07:00	7	15
2024-06-29 07:15	7	22
2024-06-29 07:30	12	21
2024-06-29 07:45	18	20
2024-06-29 08:00	16	17
2024-06-29 08:15	19	13
2024-06-29 08:30	18	10
2024-06-29 08:45	13	7
2024-06-29 09:00	15	6
2024-06-29 09:15	7	6
2024-06-29 09:30	5	5
2024-06-29 09:45	5	3
2024-06-29 10:00	5	4
2024-06-29 10:15	4	6
2024-06-29 10:30	6	7
2024-06-29 10:45	6	8
2024-06-29 11:00	7	8
2024-06-29 11:15	8	12
2024-06-29 11:30	8	12
2024-06-29 11:45	10	11
2024-06-29 12:00	12	10
2024-06-29 12:15	12	7
2024-06-29 12:30	11	8
2024-06-29 12:45	7	5
2024-06-29 13:00	8	6
2024-06-29 13:15	5	5
2024-06-29 13:30	5	3
2024-06-29 13:45	5	3
2024-06-29 14:00	3	4
2024-06-29 14:15	4	5
2024-06-29 14:30	4	5
2024-06-29 14:45	5	8
2024-06-29 15:00	6	8
2024-06-29 15:15	6	8
2024-06-29 15:30	10	11
2024-06-29 15:45	11	12
2024-06-29 16:00	10	13
2024-06-29 16:15	13	16
2024-06-29 16:30	15	19
2024-06-29 16:45	15	25
2024-06-29 17:00	22	21
2024-06-29 17:15	23	29
2024-06-29 17:30	21	29
2024-06-29 17:45	30	24
2024-06-29 18:00	32	28
2024-06-29 18:15	25	20
2024-06-29 18:30	25	19
2024-06-29 18:45	22	15
2024-06-29 19:00	18	13
2024-06-29 19:15	19	11
2024-06-29 19:30	17	9
2024-06-29 19:45	15	7
2024-06-29 20:00	17	6
2024-06-29 20:15	10	5
2024-06-29 20:30	6	6
2024-06-29 20:45	7	5
2024-06-29 21:00	6	4
2024-06-29 21:15	5	4
2024-06-29 21:30	5	2
2024-06-29 21:45	3	1
2024-06-29 22:00	2	1
2024-06-29 22:15	3	1
2024-06-29 22:30	1	1
2024-06-29 22:45	1	0
2024-06-29 23:00	1	0
2024-06-29 23:15	0	0
2024-06-29 23:30	0	0
2024-06-29 23:45	0	0
